Dept,Department,Code,Course,Section,Course UniqueID,crossListUniqueID,MDC_CourseDeliveryMode,Course-Mode,Quarter,QuestionKey,Enrollments,Respondents,ResponseRate,Mean,Std,Value,OptionRespondents,OptionResponseRate,Course Comments,QuestionType,Question,Username,Instructor Name,Course-Mode-Instructor,Attribute,Comment,CourseProgram,CourseNumber,LabCourse,CourseLevel
ENGR,Engineering,1920FENGR101-01,ENGR101,1,202010-101,,Hybrid,ENGR101-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,4,1,11.11111069,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR101-Hybrid-testuser1,Individual Comment.1,,ENGR,101,,100-level
ENGR,Engineering,1920FENGR101-01,ENGR101,1,202010-101,,Hybrid,ENGR101-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,3,4,44.44444275,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR101-Hybrid-testuser1,Individual Comment.1,,ENGR,101,,100-level
ENGR,Engineering,1920FENGR101-01,ENGR101,1,202010-101,,Hybrid,ENGR101-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,2,2,22.22222137,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR101-Hybrid-testuser1,Individual Comment.1,,ENGR,101,,100-level
ENGR,Engineering,1920FENGR101-01,ENGR101,1,202010-101,,Hybrid,ENGR101-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,1,2,22.22222137,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR101-Hybrid-testuser1,Individual Comment.1,,ENGR,101,,100-level
ENGR,Engineering,1920FENGR101-01,ENGR101,1,202010-101,,Hybrid,ENGR101-Hybrid,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,5,3,33.33333206,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR101-Hybrid-testuser1,Individual Comment.1,,ENGR,101,,100-level
ENGR,Engineering,1920FENGR101-01,ENGR101,1,202010-101,,Hybrid,ENGR101-Hybrid,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,4,3,33.33333206,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR101-Hybrid-testuser1,Individual Comment.1,,ENGR,101,,100-level
ENGR,Engineering,1920FENGR101-01,ENGR101,1,202010-101,,Hybrid,ENGR101-Hybrid,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,3,2,22.22222137,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR101-Hybrid-testuser1,Individual Comment.1,,ENGR,101,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226882-0,21,9,42.8571434,4.333333492,0.707106769,5,4,44.44444275,,Single Selection,Please rate the quality of your learning in this course.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226882-0,21,9,42.8571434,4.333333492,0.707106769,4,4,44.44444275,,Single Selection,Please rate the quality of your learning in this course.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226882-0,21,9,42.8571434,4.333333492,0.707106769,3,1,11.11111069,,Single Selection,Please rate the quality of your learning in this course.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,Comment 1,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.2,Comment 2,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.3,Comment 3,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.4,Comment 4,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226885-0,21,9,42.8571434,4.5,0.707106769,5,1,11.11111069,,Single Selection,The laboratory assignments and course material reinforced one another.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226885-0,21,9,42.8571434,4.5,0.707106769,4,1,11.11111069,,Single Selection,The laboratory assignments and course material reinforced one another.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226885-0,21,9,42.8571434,4.5,0.707106769,0,7,77.77777863,,Single Selection,The laboratory assignments and course material reinforced one another.,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,4,1,11.11111069,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,3,4,44.44444275,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,2,2,22.22222137,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,1,2,22.22222137,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,5,3,33.33333206,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,4,3,33.33333206,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR102-01,ENGR102,1,202010-102,,Hybrid,ENGR102-Hybrid,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,3,2,22.22222137,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR102-Hybrid-testuser1,Individual Comment.1,,ENGR,102,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226882-0,21,9,42.8571434,4.333333492,0.707106769,5,4,44.44444275,,Single Selection,Please rate the quality of your learning in this course.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226882-0,21,9,42.8571434,4.333333492,0.707106769,4,4,44.44444275,,Single Selection,Please rate the quality of your learning in this course.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226882-0,21,9,42.8571434,4.333333492,0.707106769,3,1,11.11111069,,Single Selection,Please rate the quality of your learning in this course.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,Comment 1,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.2,Comment 2,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.3,Comment 3,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226883-0,21,7,33.33333206,0,0,0,7,100,Comment 1||Comment 2||Comment 3||Comment 4,Write-In,Explain why your learning was at this level.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.4,Comment 4,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226885-0,21,9,42.8571434,4.5,0.707106769,5,1,11.11111069,,Single Selection,The laboratory assignments and course material reinforced one another.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226885-0,21,9,42.8571434,4.5,0.707106769,4,1,11.11111069,,Single Selection,The laboratory assignments and course material reinforced one another.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226885-0,21,9,42.8571434,4.5,0.707106769,0,7,77.77777863,,Single Selection,The laboratory assignments and course material reinforced one another.,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,4,1,11.11111069,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,3,4,44.44444275,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,2,2,22.22222137,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226894-0,21,9,42.8571434,2.444444418,1.013793707,1,2,22.22222137,,Single Selection,The work load for this course in relation to other courses of equal credit was:,testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,5,3,33.33333206,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,4,3,33.33333206,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
ENGR,Engineering,1920FENGR1011-01,ENGR1011,1,202010-1011,,Online,ENGR1011-Online,2019-2020 Fall,226895-0,21,9,42.8571434,3.888888836,1.054092526,3,2,22.22222137,,Single Selection,"Overall, how would you rate this course?",testuser1,"Name, Instructor",ENGR1011-Online-testuser1,Individual Comment.1,,ENGR,1011,,100-level
